Первая строка,Aka,Автор,Git,XML,PDF,Тональность,Размер,Темп,Bpm,Основная Тема Песни,Применение,Дата,Писание
Иисус Христос Господь ,,,,Иисус Христос Господь (https://dl.airtable.com/BG4gMza4R3y46E4MVsVU_%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%BE%D1%81%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C),,"Dm,Em",4/4,Быстрый,140,"Прославление,Страдания Жертва Воскресение Искупление",,21.7.2019,
Вместе звучно ,,ахвегс,,"Вместе звучно Em (https://dl.airtable.com/dJjR0BdPQqqOZ9TdnIWM_%D0%92%D0%BC%D0%B5%D1%81%D1%82%D0%B5%20%D0%B7%D0%B2%D1%83%D1%87%D0%BD%D0%BE%20Em),Вместе звучно Dm (https://dl.airtable.com/YSO5tK1HTS6XwXCjrh6m_%D0%92%D0%BC%D0%B5%D1%81%D1%82%D0%B5%20%D0%B7%D0%B2%D1%83%D1%87%D0%BD%D0%BE%20Dm)",,"Dm,Em",4/4,Умеренный,116,"Прославление,Призыв к Поклонению",Вступление,21.7.2019,
В Господнем Свете,,,,В Господнем свете (https://dl.airtable.com/PVeXDTmnSOaPK8pZKDJm_%D0%92%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%BD%D0%B5%D0%BC%20%D1%81%D0%B2%D0%B5%D1%82%D0%B5),,Em,2/4,Медленный,70,"Вера и Истина,Утверждение и Посвящение",,21.7.2019,
Благо есть славить Господа,,,,"Благо есть славить Господа Dm (https://dl.airtable.com/8dp5I6lRsCy9E1Y5WNh0_%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%20%D0%B5%D1%81%D1%82%D1%8C%20%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D1%82%D1%8C%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0%20Dm),Благо есть славить Господа Em (https://dl.airtable.com/uvW56cSlSD62k95tgswp_%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%20%D0%B5%D1%81%D1%82%D1%8C%20%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D1%82%D1%8C%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0%20Em)",Благо есть славить Господа Em (Key - Em).pdf (https://dl.airtable.com/ZQvvhSWRY2DBJSReIkCA_%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%20%D0%B5%D1%81%D1%82%D1%8C%20%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D1%82%D1%8C%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0%20Em%20(Key%20-%20Em).pdf),"Dm,Em",4/4,Быстрый,130,Утверждение и Посвящение,Десятина,21.7.2019,
Измени меня сердце мое обнови,,,,Измени меня сердце мое обнови (https://dl.airtable.com/kmWL6tm4SAqTvkiLaByz_%D0%98%D0%B7%D0%BC%D0%B5%D0%BD%D0%B8%20%D0%BC%D0%B5%D0%BD%D1%8F%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20%D0%BC%D0%BE%D0%B5%20%D0%BE%D0%B1%D0%BD%D0%BE%D0%B2%D0%B8),,G,4/4,Умеренный,70,"Утверждение и Посвящение,Молитва и Обновление",,18.7.2019,
Тебя прославлю,,,,Тебя прославлю (https://dl.airtable.com/b0wAEWhbRZ6giB1agLzF_%D0%A2%D0%B5%D0%B1%D1%8F%20%D0%BF%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%BB%D1%8E),,A,4/4,Быстрый,150,Прославление,,18.7.2019,
Моя надежда Ты мой Бог,,,,Моя надежда Ты мой Бог (https://dl.airtable.com/VXcfUckQi04mqNaZ3tYw_%D0%9C%D0%BE%D1%8F%20%D0%BD%D0%B0%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0%20%D0%A2%D1%8B%20%D0%BC%D0%BE%D0%B9%20%D0%91%D0%BE%D0%B3),Моя надежда Ты мой Бог (Key - G).pdf (https://dl.airtable.com/aekZI5hgR9OMm5LGMcRV_%D0%9C%D0%BE%D1%8F%20%D0%BD%D0%B0%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0%20%D0%A2%D1%8B%20%D0%BC%D0%BE%D0%B9%20%D0%91%D0%BE%D0%B3%20(Key%20-%20G).pdf),G,4/4,Умеренный,90,"Мир и Надежда,Утверждение и Посвящение",,18.7.2019,
Мы будем славить имя Твое ,,,,Мы будем славить Имя Твоё (https://dl.airtable.com/Mpmo8mj8Txy2M4DutpRf_%D0%9C%D1%8B%20%D0%B1%D1%83%D0%B4%D0%B5%D0%BC%20%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D1%82%D1%8C%20%D0%98%D0%BC%D1%8F%20%D0%A2%D0%B2%D0%BE%D1%91),,"Fm,Em",4/4,Быстрый,110,Прославление,,14.7.2019,
Ты любовь и счастье,,"ц. ""Возрождение"" (г. Нижнекамск)",,Ты – любовь и счастье (https://dl.airtable.com/h5Ba9OMZQDefs1mgQSEH_%D0%A2%D1%8B%20%E2%80%93%20%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C%20%D0%B8%20%D1%81%D1%87%D0%B0%D1%81%D1%82%D1%8C%D0%B5),,F,4/4,Быстрый,96,Прославление,Десятина,14.7.2019,
Приди настала пора поклоненья ,,,,Приди настала пора (https://dl.airtable.com/Y4R2rJVKSv6xJ9t7tWBc_%D0%9F%D1%80%D0%B8%D0%B4%D0%B8%20%D0%BD%D0%B0%D1%81%D1%82%D0%B0%D0%BB%D0%B0%20%D0%BF%D0%BE%D1%80%D0%B0),,E,4/4,Умеренный,110,Призыв к Поклонению,Вступление,14.7.2019,
