Первая строка,Aka,Автор,Git,XML,PDF,Тональность,Размер,Темп,Bpm,Основная Тема Песни,Применение,Дата,Писание
Тебя Господь я буду славить,,,,Тебя Господь я буду славить (https://dl.airtable.com/LTaszVVIQz2KoYfhTtYP_%D0%A2%D0%B5%D0%B1%D1%8F%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C%20%D1%8F%20%D0%B1%D1%83%D0%B4%D1%83%20%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D1%82%D1%8C),,"F,G",4/4,Быстрый,90,Любовь Благодать и Милость,,9.6.2019,
По преданью отцов человек охранял,,гр. Новый завет,,По преданью отцов (https://dl.airtable.com/scDhcVwyTCiUGNbdiY3g_%D0%9F%D0%BE%20%D0%BF%D1%80%D0%B5%D0%B4%D0%B0%D0%BD%D1%8C%D1%8E%20%D0%BE%D1%82%D1%86%D0%BE%D0%B2),,Am,4/4,Умеренный,70,Страдания Жертва Воскресение Искупление,Причастие,9.6.2019,
Прославь Иисуса прославь Господа,,Ятковский,,Прославь Иисуса прославь Господа (https://dl.airtable.com/CSVNlzXcQXigINdJxk21_%D0%9F%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D1%8C%20%D0%98%D0%B8%D1%81%D1%83%D1%81%D0%B0%20%D0%BF%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D1%8C%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0),,D,4/4,Быстрый,132,Прославление,Вступление,9.6.2019,
Помоги Господь помоги,,,,Помоги Господь помоги (https://dl.airtable.com/w2uJZkTWT8eGpdRiR3rU_%D0%9F%D0%BE%D0%BC%D0%BE%D0%B3%D0%B8%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C%20%D0%BF%D0%BE%D0%BC%D0%BE%D0%B3%D0%B8),,F,4/4,Медленный,70,Молитва и Обновление,,2.6.2019,
Ты нужен мне,,,,Ты нужен мне (https://dl.airtable.com/YbjHMMVHRBeU94IwojBb_%D0%A2%D1%8B%20%D0%BD%D1%83%D0%B6%D0%B5%D0%BD%20%D0%BC%D0%BD%D0%B5),,F,4/4,Медленный,70,"Утверждение и Посвящение,Прославление",,2.6.2019,
Каждый день на устах моих ,,Ятковский,,Каждый день на устах моих (https://dl.airtable.com/PG6um3aOQ9mz8Dvf25jp_%D0%9A%D0%B0%D0%B6%D0%B4%D1%8B%D0%B9%20%D0%B4%D0%B5%D0%BD%D1%8C%20%D0%BD%D0%B0%20%D1%83%D1%81%D1%82%D0%B0%D1%85%20%D0%BC%D0%BE%D0%B8%D1%85),,F,4/4,Быстрый,120,"Прославление,Призыв к Поклонению,Утверждение и Посвящение",,2.6.2019,
Будем петь петь петь,,,,Будем петь петь петь (https://dl.airtable.com/i9wtlbeHSd2ypuCX7eBP_%D0%91%D1%83%D0%B4%D0%B5%D0%BC%20%D0%BF%D0%B5%D1%82%D1%8C%20%D0%BF%D0%B5%D1%82%D1%8C%20%D0%BF%D0%B5%D1%82%D1%8C),,F,4/4,Быстрый,144,Прославление,,2.6.2019,
Подули ветры,Свет Твоей зари я вижу,Not an Idol,,"Подули ветры разлились реки (упрощенно) (https://dl.airtable.com/.attachments/da00136436684f77faa800c889f1455f/bd624d16),Подули ветры разлились реки (полная) (https://dl.airtable.com/.attachments/2486208cb7ad6dff034f387eb653bc40/5516055d)",,Cm,4/4,Умеренный,74,Утверждение и Посвящение,,2.6.2019,
Велик наш Господь ,,ахвегс,,Велик наш Господь (https://dl.airtable.com/hF7GrPsEQAekUqcL84uo_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%20%D0%BD%D0%B0%D1%88%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C),,"D,F,G",4/4,Быстрый,140,Призыв к Поклонению,,26.5.2019,
Прославим братья Иисуса Христа,Взойди на гору...,,,Прославим братья Иисуса Христа (https://dl.airtable.com/d0Otf8WR3aXWrSNYyLQN_%D0%9F%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D0%BC%20%D0%B1%D1%80%D0%B0%D1%82%D1%8C%D1%8F%20%D0%98%D0%B8%D1%81%D1%83%D1%81%D0%B0%20%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%B0),,"E,F",4/4,Быстрый,130,"Прославление,Утверждение и Посвящение",Вступление,26.5.2019,
Я буду Твой,,,,Я буду Твой Ты будешь мой (https://dl.airtable.com/xhJQIvBaQzyzJu37HD0V_%D0%AF%20%D0%B1%D1%83%D0%B4%D1%83%20%D0%A2%D0%B2%D0%BE%D0%B9%20%D0%A2%D1%8B%20%D0%B1%D1%83%D0%B4%D0%B5%D1%88%D1%8C%20%D0%BC%D0%BE%D0%B9),,F,4/4,Умеренный,48,,,26.5.2019,
Сделай сердце мне ,,ахвегс,,Сделай сердце мне (https://dl.airtable.com/d3LbTPncSJaxGE6GPuAH_%D0%A1%D0%B4%D0%B5%D0%BB%D0%B0%D0%B9%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20%D0%BC%D0%BD%D0%B5),,F,4/4,Медленный,70,,,26.5.2019,
Благодарю Тебя Господь за все,,Краеугольный камень,,Благодарю Тебя Господь (https://dl.airtable.com/EltFtlmeSlWYYTzKMhW8_%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%D0%B4%D0%B0%D1%80%D1%8E%20%D0%A2%D0%B5%D0%B1%D1%8F%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C),,F,4/4,Умеренный,104,"Прославление,Мир и Надежда",,26.5.2019,
Аллилуйя,Будь прославлен Бог Великий,,,Аллилуйя (акапелла) (https://dl.airtable.com/bkCNqXpXSw24m4ecGUwC_%D0%90%D0%BB%D0%BB%D0%B8%D0%BB%D1%83%D0%B9%D1%8F%20(%D0%B0%D0%BA%D0%B0%D0%BF%D0%B5%D0%BB%D0%BB%D0%B0)),Аллилуйя (акапелла) (Key - A).pdf (https://dl.airtable.com/qoaASNAFR2e5pEVY28R0_%D0%90%D0%BB%D0%BB%D0%B8%D0%BB%D1%83%D0%B9%D1%8F%20(%D0%B0%D0%BA%D0%B0%D0%BF%D0%B5%D0%BB%D0%BB%D0%B0)%20(Key%20-%20A).pdf),A,4/4,Умеренный,66,Прославление,,23.5.2019,
Каждый кто жаждет ,,,,Каждый кто жаждет (https://dl.airtable.com/Fvtth2UXTXSbCAF8SJOf_%D0%9A%D0%B0%D0%B6%D0%B4%D1%8B%D0%B9%20%D0%BA%D1%82%D0%BE%20%D0%B6%D0%B0%D0%B6%D0%B4%D0%B5%D1%82),Каждый кто жаждет (Key - F).pdf (https://dl.airtable.com/1mbSG6woSjycZBLB9Osr_%D0%9A%D0%B0%D0%B6%D0%B4%D1%8B%D0%B9%20%D0%BA%D1%82%D0%BE%20%D0%B6%D0%B0%D0%B6%D0%B4%D0%B5%D1%82%20(Key%20-%20F).pdf),"D,F",12/8,Умеренный,54,,,23.5.2019,
Милости Твоей ,,,,Милости Твоей (https://dl.airtable.com/76QYS0dUTu8ks7196AmR_%D0%9C%D0%B8%D0%BB%D0%BE%D1%81%D1%82%D0%B8%20%D0%A2%D0%B2%D0%BE%D0%B5%D0%B9),,"Fm,Em",4/4,Медленный,,Любовь Благодать и Милость,Причастие,23.5.2019,
Ты омой меня ,,ахвегс,,"Ты омой меня G (https://dl.airtable.com/GwqqgoZYTcOSPo21MZh8_%D0%A2%D1%8B%20%D0%BE%D0%BC%D0%BE%D0%B9%20%D0%BC%D0%B5%D0%BD%D1%8F%20G),Ты омой меня F (https://dl.airtable.com/GP1bHYdkSkK3HvFKBFjQ_%D0%A2%D1%8B%20%D0%BE%D0%BC%D0%BE%D0%B9%20%D0%BC%D0%B5%D0%BD%D1%8F%20F)",,"F,G",4/4,Умеренный,70,Утверждение и Посвящение,,23.5.2019,
Как глубока Твоя любовь ,,ахвегс,,Как глубока Твоя любовь (https://dl.airtable.com/kXE7awdIR66oBJnyxWqs_%D0%9A%D0%B0%D0%BA%20%D0%B3%D0%BB%D1%83%D0%B1%D0%BE%D0%BA%D0%B0%20%D0%A2%D0%B2%D0%BE%D1%8F%20%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C),,Dm,4/4,Медленный,,"Любовь Благодать и Милость,Страдания Жертва Воскресение Искупление",,23.5.2019,
Имя Иисус в Нем свобода и любовь,,ахвегс,,Имя имя Иисус (https://dl.airtable.com/.attachments/125ed4655309843b4a150b5e257d061b/2b009a73),,C,4/4,Медленный,,"Качества Бога,Любовь Благодать и Милость",,23.5.2019,
Мое сердце ждет Тебя ,,ахвегс,,"Моё сердце ждёт Тебя F (https://dl.airtable.com/kYBfZ1roSsin7rGSXRgV_%D0%9C%D0%BE%D1%91%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20%D0%B6%D0%B4%D1%91%D1%82%20%D0%A2%D0%B5%D0%B1%D1%8F%20F),Моё сердце ждёт Тебя G (https://dl.airtable.com/ihKQEd6Qqm7AhBOUrVMq_%D0%9C%D0%BE%D1%91%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20%D0%B6%D0%B4%D1%91%D1%82%20%D0%A2%D0%B5%D0%B1%D1%8F%20G)",Моё сердце ждёт Тебя G (Key - G).pdf (https://dl.airtable.com/MY5VdthlQ2KBBeDszPo3_%D0%9C%D0%BE%D1%91%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20%D0%B6%D0%B4%D1%91%D1%82%20%D0%A2%D0%B5%D0%B1%D1%8F%20G%20(Key%20-%20G).pdf),"F,G,A",4/4,Умеренный,70,,,23.5.2019,
Иисус как чудесен Ты ,,,,Иисус как чудесен Ты (https://dl.airtable.com/k1eTdHj9QtOscdJ2q4tX_%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D0%BA%D0%B0%D0%BA%20%D1%87%D1%83%D0%B4%D0%B5%D1%81%D0%B5%D0%BD%20%D0%A2%D1%8B),,Gm,4/4,Умеренный,60,,,23.5.2019,
Не бойся ибо Я с тобою ,,ахвегс,,Не бойся ибо Я с тобой (https://dl.airtable.com/hKOavmCT6ihHiq73dER3_%D0%9D%D0%B5%20%D0%B1%D0%BE%D0%B9%D1%81%D1%8F%20%D0%B8%D0%B1%D0%BE%20%D0%AF%20%D1%81%20%D1%82%D0%BE%D0%B1%D0%BE%D0%B9),,"Am,Gm",4/4,Быстрый,70,,,23.5.2019,
Не воинством не силой ,Затанцует хромой,ахвегс,,Не воинством не силою (https://dl.airtable.com/AKXrbYd1QIGrv51Ngy15_%D0%9D%D0%B5%20%D0%B2%D0%BE%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE%D0%BC%20%D0%BD%D0%B5%20%D1%81%D0%B8%D0%BB%D0%BE%D1%8E),Не воинством не силою (Key - Dm).pdf (https://dl.airtable.com/b5v7XuIXRRKt8y21VvDK_%D0%9D%D0%B5%20%D0%B2%D0%BE%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%BE%D0%BC%20%D0%BD%D0%B5%20%D1%81%D0%B8%D0%BB%D0%BE%D1%8E%20(Key%20-%20Dm).pdf),Dm,4/4,Быстрый,126,Качества Бога,,23.5.2019,
В сиянии Царя,,,,В сиянии Царя (https://dl.airtable.com/e4bw2xtJTkuR8Pk81oAl_%D0%92%20%D1%81%D0%B8%D1%8F%D0%BD%D0%B8%D0%B8%20%D0%A6%D0%B0%D1%80%D1%8F),,G,4/4,Умеренный,,Качества Бога,,23.5.2019,
Святый Бог наш,,,,Святый Бог наш (https://dl.airtable.com/.attachments/39ec07f570bc367d34075d57ba606016/4ca46acc),,G,4/4,Умеренный,70,Качества Бога,,23.5.2019,
Иисус Ты мой Господь ,,,,Иисус Ты мой Господь (https://dl.airtable.com/bg7oezblQ3JHGIKwVgtw_%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D0%A2%D1%8B%20%D0%BC%D0%BE%D0%B9%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C),,"F,G",4/4,Умеренный,80,,,19.5.2019,
Ты живой Господь ,,,,Ты живой Господь (https://dl.airtable.com/xP89iMTsSwYJAaPixpBQ_%D0%A2%D1%8B%20%D0%B6%D0%B8%D0%B2%D0%BE%D0%B9%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C),,Em,4/4,Умеренный,80,Прославление,,19.5.2019,
Стоял Ты пред всем твореньем,,Hillsong,,Стоял Ты пред всем творением (https://dl.airtable.com/0BvvOCZZTF2emCf6cuJ2_%D0%A1%D1%82%D0%BE%D1%8F%D0%BB%20%D0%A2%D1%8B%20%D0%BF%D1%80%D0%B5%D0%B4%20%D0%B2%D1%81%D0%B5%D0%BC%20%D1%82%D0%B2%D0%BE%D1%80%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC),,G,4/4,Умеренный,72,Утверждение и Посвящение,,19.5.2019,
Иду за Тобой,,Ятковский,,Иду за Тобой (https://dl.airtable.com/yRKoiZ96T4y1NrzGPPIN_%D0%98%D0%B4%D1%83%20%D0%B7%D0%B0%20%D0%A2%D0%BE%D0%B1%D0%BE%D0%B9),,D,4/4,Умеренный,72,,,19.5.2019,
Бог моя надежда ,,ахвегс,,Бог  моя надежда D (https://dl.airtable.com/gzsHsXSAQ7CtAOke2ecW_%D0%91%D0%BE%D0%B3%20%20%D0%BC%D0%BE%D1%8F%20%D0%BD%D0%B0%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0%20D),,D,4/4,Умеренный,66,Страдания Жертва Воскресение Искупление,Причастие,12.5.2019,
Приходим мы к Тебе Господь,,,,Приходим мы к Тебе Господь (https://dl.airtable.com/naI1MmUmQ6igBheeRw1Z_%D0%9F%D1%80%D0%B8%D1%85%D0%BE%D0%B4%D0%B8%D0%BC%20%D0%BC%D1%8B%20%D0%BA%20%D0%A2%D0%B5%D0%B1%D0%B5%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C),,D,4/4,,,,,12.5.2019,
Только Ты Господь упование мое,,Новое Поколение,,Только Ты Господь упование мое (https://dl.airtable.com/gl9noR9FTIWqAUEr56Qv_%D0%A2%D0%BE%D0%BB%D1%8C%D0%BA%D0%BE%20%D0%A2%D1%8B%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C%20%D1%83%D0%BF%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%BC%D0%BE%D0%B5),,C,4/4,Быстрый,,Утверждение и Посвящение,,12.5.2019,
Коронован всеми Ты ,,ахвегс,,Коронован всеми Ты (https://dl.airtable.com/7VhZ8yTLSqm50l4VEU7B_%D0%9A%D0%BE%D1%80%D0%BE%D0%BD%D0%BE%D0%B2%D0%B0%D0%BD%20%D0%B2%D1%81%D0%B5%D0%BC%D0%B8%20%D0%A2%D1%8B),,"E,G",4/4,Умеренный,140,,,12.5.2019,
Ликуйте небеса,,,,Ликуйте небеса (https://dl.airtable.com/fEDiqRVcScW6ZjZgKYK9_%D0%9B%D0%B8%D0%BA%D1%83%D0%B9%D1%82%D0%B5%20%D0%BD%D0%B5%D0%B1%D0%B5%D1%81%D0%B0),,Am,4/4,Быстрый,136,"Призыв к Поклонению,Прославление",Вступление,5.5.2019,
Преданный решительный ,,,,Преданный решительный (https://dl.airtable.com/CZ1QAlq5SSalXqEovuXM_%D0%9F%D1%80%D0%B5%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9%20%D1%80%D0%B5%D1%88%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9),,"D,F",4/4,Медленный,70,Качества Бога,,5.5.2019,Пс. 90:1-2
Имени Господню хвала ,Достоин Ты достоин,А. Ледяев,,Имени Господню хвала (https://dl.airtable.com/qUptdR9xS9Wk4Uo2PO55_%D0%98%D0%BC%D0%B5%D0%BD%D0%B8%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%BD%D1%8E%20%D1%85%D0%B2%D0%B0%D0%BB%D0%B0),,D,4/4,Умеренный,68,,,5.5.2019,
Хвала с небес,В наш мир вернулась красота,,,Хвала с небес (https://dl.airtable.com/TvkadpNSkOi7RrmmLxs2_%D0%A5%D0%B2%D0%B0%D0%BB%D0%B0%20%D1%81%20%D0%BD%D0%B5%D0%B1%D0%B5%D1%81),,G,4/4,Умеренный,90,,,28.4.2019,
Аллилуйя Иисус Он живой,,дело веры,,Аллилуйя Иисус Он живой (https://dl.airtable.com/sRRbYzZZTCCzJdxBnrjM_%D0%90%D0%BB%D0%BB%D0%B8%D0%BB%D1%83%D0%B9%D1%8F%20%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D0%9E%D0%BD%20%D0%B6%D0%B8%D0%B2%D0%BE%D0%B9),Аллилуйя Иисус Он живой (Key - A).pdf (https://dl.airtable.com/PznEDc3iTnm4mG3XJgBQ_%D0%90%D0%BB%D0%BB%D0%B8%D0%BB%D1%83%D0%B9%D1%8F%20%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D0%9E%D0%BD%20%D0%B6%D0%B8%D0%B2%D0%BE%D0%B9%20(Key%20-%20A).pdf),A,4/4,Быстрый,150,Страдания Жертва Воскресение Искупление,Пасха,28.4.2019,
Верю я ,,,,Верю я (https://dl.airtable.com/mgFpclljQKGs8M18husO_%D0%92%D0%B5%D1%80%D1%8E%20%D1%8F),,"E,F",4/4,Быстрый,124,Вера и Истина,,28.4.2019,
Жертвой Иисуса Христа ,,,,Жертвой Иисуса Христа (https://dl.airtable.com/98l5fQJdRQ6L4OK8Nf1k_%D0%96%D0%B5%D1%80%D1%82%D0%B2%D0%BE%D0%B9%20%D0%98%D0%B8%D1%81%D1%83%D1%81%D0%B0%20%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%B0),,A,4/4,Быстрый,124,Страдания Жертва Воскресение Искупление,,28.4.2019,
Вспоминаю тот день,Он воскрес,Божье прикосновение,,Вспоминаю тот день (Он воскрес) (https://dl.airtable.com/DGN1GBc6RuS6ORt1S7pY_%D0%92%D1%81%D0%BF%D0%BE%D0%BC%D0%B8%D0%BD%D0%B0%D1%8E%20%D1%82%D0%BE%D1%82%20%D0%B4%D0%B5%D0%BD%D1%8C%20(%D0%9E%D0%BD%20%D0%B2%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81)),,G,4/4,Медленный,66,Страдания Жертва Воскресение Искупление,Пасха,28.4.2019,
Аллилуйя Иисус воскрес,,Часовня у Голгофы г. Владимир,,Аллилуйя Иисус воскрес (https://dl.airtable.com/.attachments/e2bab037cd9f77c5fa02abae0ce7828e/bb0ad62b),,E,4/4,Быстрый,120,Страдания Жертва Воскресение Искупление,Пасха,28.4.2019,
Ты прекраснее всего на свете ,,ахвегс,,Ты прекраснее всего на свете (https://dl.airtable.com/vDdPip8TSDWGfaEEiQ2O_%D0%A2%D1%8B%20%D0%BF%D1%80%D0%B5%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%B5%D0%B5%20%D0%B2%D1%81%D0%B5%D0%B3%D0%BE%20%D0%BD%D0%B0%20%D1%81%D0%B2%D0%B5%D1%82%D0%B5),,A,4/4,Медленный,68,Качества Бога,,21.4.2019,
Иисус Ты скала спасенья ,,ахвегс,,Иисус Ты скала спасенья (https://dl.airtable.com/Z3dI2A6jRiuAwSLkzzHL_%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D0%A2%D1%8B%20%D1%81%D0%BA%D0%B0%D0%BB%D0%B0%20%D1%81%D0%BF%D0%B0%D1%81%D0%B5%D0%BD%D1%8C%D1%8F),,"F,G,D",4/4,Быстрый,120,,,21.4.2019,
Ты то чем я дышу,,,,Ты то чем я дышу (https://dl.airtable.com/CTr2ocgUS32rFq8mzJvr_%D0%A2%D1%8B%20%D1%82%D0%BE%20%D1%87%D0%B5%D0%BC%20%D1%8F%20%D0%B4%D1%8B%D1%88%D1%83),,A,4/4,Медленный,64,,,21.4.2019,
Прихожу к Тебе я,,ахвегс,,Прихожу к Тебе я (https://dl.airtable.com/iM5hFGQcSyixmdz1BsGz_%D0%9F%D1%80%D0%B8%D1%85%D0%BE%D0%B6%D1%83%20%D0%BA%20%D0%A2%D0%B5%D0%B1%D0%B5%20%D1%8F),,A,4/4,Умеренный,66,Прославление,,18.4.2019,
Славь Господа,Славь Господа в небесах,,,Славь Господа (https://dl.airtable.com/OTAFJdmQRteM3j3Wo1OB_%D0%A1%D0%BB%D0%B0%D0%B2%D1%8C%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0),,G,4/4,Умеренный,70,,,17.4.2019,
Ты Вседержитель благой ,,ахвегс,,"Ты Вседержитель благой E (https://dl.airtable.com/7jIL5BYQTaXeAm3MINl1_%D0%A2%D1%8B%20%D0%92%D1%81%D0%B5%D0%B4%D0%B5%D1%80%D0%B6%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%20%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D0%B9%20E),Ты Вседержитель благой F (https://dl.airtable.com/DmJORXInToqaCp0es1GI_%D0%A2%D1%8B%20%D0%92%D1%81%D0%B5%D0%B4%D0%B5%D1%80%D0%B6%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%20%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D0%B9%20F)",,"E,F",4/4,Быстрый,130,Утверждение и Посвящение,,14.4.2019,
Хвала Тебе наш Господь ,,,,Хвала Тебе наш Господь (https://dl.airtable.com/GEYwauxkQCFOuZY2IpBI_%D0%A5%D0%B2%D0%B0%D0%BB%D0%B0%20%D0%A2%D0%B5%D0%B1%D0%B5%20%D0%BD%D0%B0%D1%88%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C),,F,4/4,Медленный,,Утверждение и Посвящение,,14.4.2019,
Слава и честь и хвала вовеки ,,ахвегс,,Слава и честь и хвала вовеки (https://dl.airtable.com/SXDOvxyITPe0tK08hYQv_%D0%A1%D0%BB%D0%B0%D0%B2%D0%B0%20%D0%B8%20%D1%87%D0%B5%D1%81%D1%82%D1%8C%20%D0%B8%20%D1%85%D0%B2%D0%B0%D0%BB%D0%B0%20%D0%B2%D0%BE%D0%B2%D0%B5%D0%BA%D0%B8),,D,4/4,Умеренный,,,,14.4.2019,
Слава и честь Тебе,,,,Слава и честь Тебе (https://dl.airtable.com/XGpbpL1SKsNFVAAcAOmQ_%D0%A1%D0%BB%D0%B0%D0%B2%D0%B0%20%D0%B8%20%D1%87%D0%B5%D1%81%D1%82%D1%8C%20%D0%A2%D0%B5%D0%B1%D0%B5),,G,4/4,,,,,14.4.2019,
Ты искупил мир от греха,,,,Ты искупил мир от греха (https://dl.airtable.com/TCYKPwd9SmC84F3yzWmC_%D0%A2%D1%8B%20%D0%B8%D1%81%D0%BA%D1%83%D0%BF%D0%B8%D0%BB%20%D0%BC%D0%B8%D1%80%20%D0%BE%D1%82%20%D0%B3%D1%80%D0%B5%D1%85%D0%B0),,"F,G",4/4,Медленный,68,"Прославление,Страдания Жертва Воскресение Искупление",,14.4.2019,
Воспойте хвалу Царю Царей,,,,Воспойте хвалу Царю Царей (https://dl.airtable.com/FM7QlfkmQKyUF31e2lWY_%D0%92%D0%BE%D1%81%D0%BF%D0%BE%D0%B9%D1%82%D0%B5%20%D1%85%D0%B2%D0%B0%D0%BB%D1%83%20%D0%A6%D0%B0%D1%80%D1%8E%20%D0%A6%D0%B0%D1%80%D0%B5%D0%B9),Воспойте хвалу Царю Царей (Key - F).pdf (https://dl.airtable.com/obGyrxbGRXauSDbdPfaB_%D0%92%D0%BE%D1%81%D0%BF%D0%BE%D0%B9%D1%82%D0%B5%20%D1%85%D0%B2%D0%B0%D0%BB%D1%83%20%D0%A6%D0%B0%D1%80%D1%8E%20%D0%A6%D0%B0%D1%80%D0%B5%D0%B9%20(Key%20-%20F).pdf),F,4/4,Быстрый,130,"Любовь Благодать и Милость,Призыв к Поклонению",,14.4.2019,
Он вознесенный ,,ахвегс,,Он вознесенный (https://dl.airtable.com/DXT9kimRThyBC3B7XjdC_%D0%9E%D0%BD%20%D0%B2%D0%BE%D0%B7%D0%BD%D0%B5%D1%81%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9),,"F,G",6/8,Умеренный,60,,,7.4.2019,
Ты наш Господь один ,Возвышаю ,ахвегс,,"Ты наш Господь один D (https://dl.airtable.com/oNNeQNGRkWYdSqgawx0H_%D0%A2%D1%8B%20%D0%BD%D0%B0%D1%88%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C%20%D0%BE%D0%B4%D0%B8%D0%BD%20D),Ты наш Господь один E (https://dl.airtable.com/geto2SXSI2vum2BF3KbW_%D0%A2%D1%8B%20%D0%BD%D0%B0%D1%88%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C%20%D0%BE%D0%B4%D0%B8%D0%BD%20E),Ты наш Господь один F (https://dl.airtable.com/YItGqYM1TGKU51vqx38D_%D0%A2%D1%8B%20%D0%BD%D0%B0%D1%88%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C%20%D0%BE%D0%B4%D0%B8%D0%BD%20F)",,"D,E,F",4/4,Умеренный,,Прославление,,7.4.2019,
Одного прошу Господи,,Краеугольный камень,,Одного прошу Господи (https://dl.airtable.com/mkxc4TrmQQOfO4qLfthj_%D0%9E%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BF%D1%80%D0%BE%D1%88%D1%83%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B8),,Dm,4/4,Умеренный,,,,7.4.2019,
Вся земля хвалу поет,,,,Вся земля хвалу поёт (https://dl.airtable.com/DfivP7qRwyBGYAEZs1oQ_%D0%92%D1%81%D1%8F%20%D0%B7%D0%B5%D0%BC%D0%BB%D1%8F%20%D1%85%D0%B2%D0%B0%D0%BB%D1%83%20%D0%BF%D0%BE%D1%91%D1%82),,D,4/4,Умеренный,74,,,7.4.2019,
За меня Ты жизнь отдал,,ахвегс,,За меня Ты жизнь отдал (https://dl.airtable.com/tOaaQPYASQ6vknYXX7y1_%D0%97%D0%B0%20%D0%BC%D0%B5%D0%BD%D1%8F%20%D0%A2%D1%8B%20%D0%B6%D0%B8%D0%B7%D0%BD%D1%8C%20%D0%BE%D1%82%D0%B4%D0%B0%D0%BB),,"C,D",4/4,Медленный,,Страдания Жертва Воскресение Искупление,Причастие,7.4.2019,
Свят Бог святы небеса ,,ахвегс,,Свят Бог святы небеса (https://dl.airtable.com/A132coqWQsOd7SbUBPtu_%D0%A1%D0%B2%D1%8F%D1%82%20%D0%91%D0%BE%D0%B3%20%D1%81%D0%B2%D1%8F%D1%82%D1%8B%20%D0%BD%D0%B5%D0%B1%D0%B5%D1%81%D0%B0),,Dm,4/4,Умеренный,66,,,7.4.2019,
Раз я к Господу воззвал,,,,Раз я  к  Господу  воззвал (https://dl.airtable.com/T4Dq12GTWpHFe9GLIhqA_%D0%A0%D0%B0%D0%B7%20%D1%8F%20%20%D0%BA%20%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%83%20%20%D0%B2%D0%BE%D0%B7%D0%B7%D0%B2%D0%B0%D0%BB),,C,4/4,Быстрый,124,Утверждение и Посвящение,Десятина,31.3.2019,
